바타, 64, 193
타하, 57, 165
카파, 97, 149
타아, 80, 168
가파, 67, 186
마하, 44, 196
가파, 70, 147
마사, 62, 153
나라, 89, 145
카파, 62, 180
라파, 51, 158
파나, 73, 156
라차, 62, 178
아하, 40, 188
마가, 90, 199
가나, 95, 184
타자, 62, 195
하다, 88, 173
바차, 76, 192
다마, 45, 180
하가, 97, 191
가차, 63, 156
사자, 44, 194
하나, 81, 182
파카, 93, 173
하라, 45, 176
자바, 59, 162
하다, 82, 193
파타, 90, 188
아마, 62, 181
가파, 64, 166
마사, 85, 191
라마, 70, 198
나아, 67, 144
자나, 49, 152
바타, 96, 190
사가, 57, 157
자바, 92, 157
파아, 97, 166
차바, 53, 182
마바, 68, 178
마다, 85, 142
다다, 94, 175
바사, 50, 193
카파, 63, 151
사하, 97, 141
하카, 59, 166
사하, 88, 190
파라, 53, 194
자하, 59, 196
자차, 94, 170
나사, 52, 182
사사, 67, 195
마파, 71, 190
자차, 99, 193
다마, 56, 154
마다, 40, 140
다카, 70, 157
나차, 44, 168
나자, 88, 186
다파, 84, 195
바나, 74, 150
바하, 58, 143
타마, 98, 156
마타, 55, 194
가자, 43, 151
하카, 51, 152
사마, 62, 170
라나, 96, 141
라자, 89, 198
차바, 96, 172
다자, 74, 188
하자, 44, 167
마마, 71, 163
가가, 69, 187
하나, 49, 193
사아, 61, 173
나라, 80, 179
가자, 68, 160
라다, 66, 154
파하, 75, 175
하라, 82, 181
카차, 95, 178
타타, 50, 165
파다, 77, 166
사사, 89, 175
자하, 81, 157
나하, 55, 187
차아, 76, 178
사자, 74, 140
다사, 58, 176
카자, 51, 164
아다, 47, 180
사파, 94, 184
라자, 98, 170
파파, 93, 175
라파, 57, 142
자자, 73, 199
다마, 67, 173
라사, 85, 188
